devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,70.0,15.0
1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.125,0.057487719298245615,0.44288,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,12.0,0.0,5.0,0.0,7.75,0.052851612903225806,0.45408,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,13.2,0.03103030303030303,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,18.0,0.022755555555555553,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,15.0,0.027306666666666667,0.44848,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,33.6,0.012190476190476189,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,43.2,0.009481481481481481,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,49.5,0.006619797979797979,0.3488,0.3488,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,6.0,6.0,70.0,15.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,36.0,0.011377777777777777,0.44288,0.436,0.0,6.0,6.0,70.0,15.0
1.0,1.0,7.0,7.0,10.0,0.0,7.0,0.0,30.0,0.019114666666666665,0.5352,0.52848,0.0,6.0,6.0,70.0,15.0
1.0,1.0,14.0,14.0,18.0,0.0,14.0,0.0,19.666666666666668,0.05831593220338983,1.14688,1.13888,0.0,6.0,6.0,70.0,15.0
0.0,0.0,14.0,15.0,21.0,0.0,14.0,0.0,16.571428571428573,0.07415172413793103,1.23888,1.2208,0.0,6.0,6.0,70.0,15.0
0.0,0.0,14.0,13.0,14.0,0.0,14.0,0.0,26.571428571428573,0.040079139784946226,1.2208,1.2208,0.0,6.0,6.0,70.0,15.0
1.0,1.0,19.0,20.0,20.0,1.0,21.0,1.0,21.272727272727273,0.0770188034188034,1.7504,1.57488,0.047619047619047616,6.0,6.0,70.0,15.0
0.0,0.0,20.0,19.0,20.0,2.0,21.0,2.0,23.714285714285715,0.0656346987951807,1.8312,1.744,0.09523809523809523,6.0,6.0,70.0,15.0
0.0,0.0,20.0,20.0,20.0,2.0,22.0,2.0,24.272727272727273,0.06749962546816479,1.9184,1.744,0.09090909090909091,6.0,6.0,70.0,15.0
0.0,0.0,20.0,20.0,20.0,7.0,27.0,7.0,24.88888888888889,0.06582857142857143,2.3544,1.744,0.25925925925925924,6.0,6.0,70.0,15.0
0.0,0.0,20.0,20.0,20.0,4.0,24.0,4.0,26.25,0.06241523809523809,2.0928,1.744,0.16666666666666666,6.0,6.0,70.0,15.0
0.0,0.0,19.0,19.0,19.0,7.0,26.0,7.0,26.76923076923077,0.05814436781609194,2.2672,1.6568,0.2692307692307692,6.0,6.0,70.0,15.0
0.0,0.0,19.0,20.0,24.0,11.0,33.0,13.0,23.05263157894737,0.07107214611872145,2.89008,1.6568,0.3939393939393939,6.0,6.0,70.0,15.0
