devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,40.0,6.0
1.0,1.0,3.0,4.0,14.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.20576,0.17968,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,6.0,0.06826666666666666,0.44288,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,8.142857142857142,0.05030175438596492,0.4416,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,8.25,0.04964848484848485,0.44288,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,10.285714285714286,0.03982222222222222,0.4416,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,14.4,0.02844444444444444,0.436,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,18.0,0.022755555555555553,0.436,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,13.8,0.029681159420289854,0.44848,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,24.0,0.013653333333333333,0.3488,0.3488,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,21.75,0.018832183908045978,0.44288,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,27.428571428571427,0.014933333333333335,0.4416,0.436,0.0,3.0,9.0,40.0,6.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,45.6,0.008982456140350877,0.436,0.436,0.0,3.0,9.0,40.0,6.0
1.0,1.0,10.0,11.0,11.0,0.0,11.0,0.0,23.5,0.038345531914893614,0.8784,0.79008,0.0,3.0,9.0,40.0,6.0
0.0,0.0,10.0,9.0,10.0,0.0,9.0,0.0,33.333333333333336,0.022118399999999996,0.7848,0.872,0.0,3.0,9.0,40.0,6.0
1.0,1.0,16.0,16.0,17.0,0.0,16.0,0.0,21.0,0.06241523809523809,1.3144,1.31328,0.0,3.0,9.0,40.0,6.0
1.0,1.0,18.0,18.0,19.0,0.0,18.0,0.0,20.36842105263158,0.07239441860465115,1.4888,1.48768,0.0,3.0,9.0,40.0,6.0
0.0,0.0,19.0,20.0,19.0,0.0,20.0,0.0,20.25,0.08090864197530864,1.744,1.6568,0.0,3.0,9.0,40.0,6.0
0.0,0.0,20.0,19.0,25.0,0.0,19.0,0.0,18.0,0.0864711111111111,1.66928,1.744,0.0,3.0,9.0,40.0,6.0
0.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,23.4,0.07001709401709401,1.744,1.744,0.0,3.0,9.0,40.0,6.0
1.0,1.0,23.0,23.0,24.0,0.0,23.0,0.0,23.0,0.08191999999999999,1.9248,1.92368,0.0,3.0,9.0,40.0,6.0
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,23.88,0.08576214405360134,2.18,2.18,0.0,3.0,9.0,40.0,6.0
0.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,27.875,0.07053201793721972,2.0928,2.0928,0.0,3.0,9.0,40.0,6.0
1.0,1.0,30.0,30.0,31.0,1.0,31.0,1.0,25.21875,0.09745130111524164,2.6224,2.53408,0.03225806451612903,3.0,9.0,40.0,6.0
0.0,0.0,30.0,30.0,30.0,1.0,31.0,1.0,28.548387096774192,0.08608542372881356,2.7032,2.616,0.03225806451612903,3.0,9.0,40.0,6.0
0.0,0.0,30.0,30.0,30.0,3.0,33.0,3.0,31.181818181818183,0.07881516034985422,2.8776,2.616,0.09090909090909091,3.0,9.0,40.0,6.0
0.0,0.0,29.0,29.0,29.0,5.0,34.0,5.0,31.5,0.07541841269841269,2.9648,2.5288,0.14705882352941177,3.0,9.0,40.0,6.0
0.0,0.0,30.0,30.0,30.0,1.0,31.0,1.0,32.903225806451616,0.07469176470588236,2.7032,2.616,0.03225806451612903,3.0,9.0,40.0,6.0
0.0,0.0,29.0,30.0,29.0,1.0,31.0,1.0,34.064516129032256,0.07214545454545455,2.7032,2.5288,0.03225806451612903,3.0,9.0,40.0,6.0
0.0,0.0,29.0,28.0,29.0,1.0,29.0,1.0,38.06896551724138,0.060252753623188396,2.5288,2.5288,0.034482758620689655,3.0,9.0,40.0,6.0
1.0,1.0,35.0,35.0,36.0,0.0,35.0,0.0,33.333333333333336,0.08601599999999998,2.9712,2.97008,0.0,3.0,9.0,40.0,6.0
0.0,0.0,33.0,33.0,33.0,4.0,37.0,4.0,36.648648648648646,0.07376424778761062,3.2264,2.8776,0.10810810810810811,3.0,9.0,40.0,6.0
0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,36.729729729729726,0.07583175864606329,3.2264,2.9648,0.08108108108108109,3.0,9.0,40.0,6.0
0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,38.75675675675676,0.07397935843793582,3.2264,3.052,0.05405405405405406,3.0,9.0,40.0,6.0
0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,39.69230769230769,0.07223565891472866,3.4008,3.052,0.10256410256410256,3.0,9.0,40.0,6.0
0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,40.054054054054056,0.06953802968960862,3.2264,2.9648,0.08108108108108109,3.0,9.0,40.0,6.0
0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,41.05263157894737,0.06984205128205127,3.3136,3.052,0.07894736842105263,3.0,9.0,40.0,6.0
0.0,0.0,32.0,32.0,32.0,4.0,36.0,4.0,42.0,0.06241523809523809,3.1392,2.7904,0.1111111111111111,3.0,9.0,40.0,6.0
