,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,1.0,1.0,3.0,4.0,22.0,0.0,3.0,0.0,6.0,0.22512,0.17968,0.0,2.0
2,0.0,0.0,5.0,5.0,13.0,0.0,5.0,0.0,6.0,0.45984,0.436,0.0,2.0
3,0.0,0.0,5.0,5.0,13.0,0.0,5.0,0.0,6.923076923076923,0.45536,0.436,0.0,2.0
4,0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,8.142857142857142,0.4416,0.436,0.0,2.0
5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,11.4,0.436,0.436,0.0,2.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,12.0,0.436,0.436,0.0,2.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,16.8,0.436,0.436,0.0,2.0
8,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,18.0,0.436,0.436,0.0,2.0
9,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,22.5,0.3488,0.3488,0.0,2.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,24.0,0.436,0.436,0.0,2.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,31.2,0.436,0.436,0.0,2.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,36.0,0.436,0.436,0.0,2.0
13,3.0,3.0,18.0,18.0,21.0,0.0,18.0,0.0,14.857142857142858,1.3272,1.32384,0.0,2.0
14,2.0,2.0,28.0,28.0,30.0,0.0,28.0,0.0,13.2,2.28,2.27776,0.0,2.0
15,0.0,0.0,30.0,30.0,30.0,0.0,30.0,0.0,15.1,2.616,2.616,0.0,2.0
16,1.0,1.0,36.0,37.0,37.0,0.0,39.0,2.0,14.1,3.32,3.05728,0.05128205128205128,2.0
17,0.0,0.0,32.0,33.0,32.0,0.0,33.0,1.0,15.636363636363637,2.8776,2.7904,0.030303030303030304,2.0
18,0.0,0.0,33.0,32.0,33.0,0.0,33.0,0.0,17.636363636363637,2.8776,2.8776,0.0,2.0
19,0.0,0.0,35.0,34.0,35.0,1.0,35.0,1.0,18.771428571428572,3.052,3.052,0.02857142857142857,2.0
20,0.0,0.0,35.0,35.0,35.0,0.0,35.0,0.0,20.742857142857144,3.052,3.052,0.0,2.0
21,0.0,0.0,34.0,34.0,34.0,2.0,36.0,2.0,22.5,3.1392,2.9648,0.05555555555555555,2.0
22,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,23.333333333333332,3.1392,3.052,0.027777777777777776,2.0
23,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,26.0,3.1392,3.052,0.027777777777777776,2.0
24,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.56756756756757,3.2264,3.052,0.05405405405405406,2.0
