,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.2624,0.17968,0.0,2.0
2,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.0,0.50512,0.436,0.0,2.0
3,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.413793103448276,0.50512,0.436,0.0,2.0
4,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.517241379310345,0.50512,0.436,0.0,2.0
5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.931034482758621,0.50512,0.436,0.0,2.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,7.0344827586206895,0.50512,0.436,0.0,2.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,7.862068965517241,0.50512,0.436,0.0,2.0
8,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,8.068965517241379,0.50512,0.436,0.0,2.0
9,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,8.357142857142858,0.41792,0.3488,0.0,2.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,9.10344827586207,0.50512,0.436,0.0,2.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,10.344827586206897,0.50512,0.436,0.0,2.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,11.172413793103448,0.50512,0.436,0.0,2.0
13,0.0,0.0,5.0,11.0,5.0,0.0,5.0,0.0,12.413793103448276,0.50512,0.436,0.0,2.0
14,0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,13.0,0.50624,0.436,0.0,2.0
15,1.0,1.0,11.0,11.0,14.0,0.0,11.0,1.0,12.514285714285714,0.94608,0.87728,0.09090909090909091,2.0
16,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,14.2,0.9296,0.872,0.0,2.0
17,0.0,0.0,8.0,10.0,8.0,0.0,9.0,0.0,13.137931034482758,0.8424,0.6976,0.0,2.0
18,1.0,1.0,13.0,11.0,19.0,1.0,21.0,10.0,11.863636363636363,1.81344,1.05168,0.47619047619047616,2.0
19,0.0,0.0,15.0,15.0,15.0,0.0,25.0,10.0,11.853658536585366,2.22608,1.308,0.4,2.0
20,0.0,0.0,15.0,15.0,15.0,0.0,25.0,10.0,12.0,2.22608,1.308,0.4,2.0
21,1.0,1.0,18.0,18.0,24.0,0.0,31.0,13.0,10.89795918367347,2.5056,1.48768,0.41935483870967744,2.0
22,0.0,0.0,20.0,20.0,20.0,0.0,41.0,21.0,10.641509433962264,3.60976,1.744,0.5121951219512195,2.0
23,0.0,0.0,19.0,23.0,19.0,0.0,46.0,26.0,10.241379310344827,4.04576,1.6568,0.5652173913043478,2.0
24,1.0,1.0,22.0,24.0,28.0,1.0,40.0,17.0,10.285714285714286,3.44832,1.83648,0.425,2.0
25,0.0,0.0,24.0,25.0,24.0,1.0,58.0,33.0,9.681818181818182,5.08064,2.0928,0.5689655172413793,2.0
26,0.0,0.0,24.0,20.0,24.0,1.0,41.0,21.0,9.918367346938776,3.59824,2.0928,0.5121951219512195,2.0
27,0.0,0.0,25.0,25.0,25.0,0.0,57.0,32.0,9.738461538461538,4.99344,2.18,0.5614035087719298,2.0
28,0.0,0.0,25.0,25.0,28.0,0.0,45.0,20.0,10.444444444444445,3.94816,2.18,0.4444444444444444,2.0
29,1.0,1.0,31.0,31.0,36.0,1.0,66.0,36.0,9.243243243243244,5.696,2.62128,0.5454545454545454,2.0
30,1.0,1.0,29.0,33.0,39.0,1.0,80.0,53.0,8.608695652173912,6.77072,2.62656,0.6625,2.0
31,0.0,0.0,25.0,35.0,30.0,7.0,111.0,81.0,8.162162162162161,9.6792,2.616,0.7297297297297297,2.0
32,0.0,0.0,32.0,35.0,35.0,3.0,113.0,77.0,8.123893805309734,9.8536,3.052,0.6814159292035398,2.0
33,0.0,0.0,29.0,35.0,33.0,8.0,104.0,72.0,8.307692307692308,9.0688,2.8776,0.6923076923076923,2.0
34,0.0,0.0,33.0,35.0,36.0,4.0,98.0,61.0,7.959183673469388,8.5456,3.1392,0.6224489795918368,2.0
35,0.0,0.0,29.0,28.0,32.0,8.0,104.0,74.0,8.307692307692308,9.0688,2.7904,0.7115384615384616,2.0
36,0.0,0.0,27.0,35.0,29.0,7.0,113.0,81.0,8.123893805309734,9.8536,2.5288,0.7168141592920354,2.0
37,0.0,0.0,28.0,35.0,31.0,6.0,134.0,101.0,8.73134328358209,11.6848,2.7032,0.753731343283582,2.0
38,0.0,0.0,26.0,35.0,29.0,5.0,110.0,76.0,7.909090909090909,9.592,2.5288,0.6909090909090909,2.0
39,0.0,0.0,24.0,35.0,29.0,5.0,114.0,86.0,7.947368421052632,9.9408,2.5288,0.7543859649122807,2.0
40,0.0,0.0,31.0,35.0,36.0,7.0,117.0,82.0,9.23076923076923,10.2024,3.1392,0.7008547008547008,2.0
41,0.0,0.0,27.0,35.0,33.0,6.0,112.0,79.0,7.339285714285714,9.7664,2.8776,0.7053571428571429,2.0
42,0.0,0.0,35.0,35.0,39.0,4.0,106.0,66.0,7.867924528301887,9.2432,3.4008,0.6226415094339622,2.0
43,0.0,0.0,28.0,28.0,30.0,9.0,113.0,84.0,8.176991150442477,9.8536,2.616,0.7433628318584071,2.0
44,0.0,0.0,25.0,35.0,30.0,9.0,126.0,92.0,7.571428571428571,10.9872,2.616,0.7301587301587301,2.0
45,0.0,0.0,29.0,35.0,33.0,7.0,110.0,76.0,6.818181818181818,9.592,2.8776,0.6909090909090909,2.0
46,0.0,0.0,22.0,35.0,25.0,7.0,116.0,86.0,6.879310344827586,10.1152,2.18,0.7413793103448276,2.0
47,0.0,0.0,35.0,35.0,36.0,10.0,103.0,63.0,7.747572815533981,8.9816,3.1392,0.6116504854368932,2.0
48,0.0,0.0,30.0,35.0,30.0,8.0,94.0,60.0,7.627659574468085,8.1968,2.616,0.6382978723404256,2.0
49,0.0,0.0,29.0,35.0,33.0,7.0,115.0,81.0,7.721739130434782,10.028,2.8776,0.7043478260869566,2.0
50,0.0,0.0,26.0,35.0,30.0,6.0,112.0,80.0,7.5,9.7664,2.616,0.7142857142857143,2.0
51,0.0,0.0,35.0,35.0,37.0,7.0,95.0,57.0,8.905263157894737,8.284,3.2264,0.6,2.0
52,0.0,0.0,29.0,28.0,33.0,6.0,102.0,71.0,7.882352941176471,8.8944,2.8776,0.696078431372549,2.0
53,0.0,0.0,22.0,35.0,28.0,6.0,130.0,100.0,7.846153846153846,11.336,2.4416,0.7692307692307693,2.0
54,0.0,0.0,32.0,35.0,33.0,9.0,104.0,66.0,8.307692307692308,9.0688,2.8776,0.6346153846153846,2.0
55,0.0,0.0,35.0,35.0,38.0,5.0,112.0,75.0,8.142857142857142,9.7664,3.3136,0.6696428571428571,2.0
56,0.0,0.0,25.0,35.0,27.0,10.0,103.0,72.0,8.330097087378642,8.9816,2.3544,0.6990291262135923,2.0
57,0.0,0.0,29.0,35.0,38.0,4.0,120.0,84.0,8.0,10.464,3.3136,0.7,2.0
58,0.0,0.0,27.0,35.0,32.0,9.0,104.0,72.0,8.307692307692308,9.0688,2.7904,0.6923076923076923,2.0
59,0.0,0.0,37.0,35.0,38.0,5.0,92.0,51.0,8.608695652173912,8.0224,3.3136,0.5543478260869565,2.0
60,0.0,0.0,22.0,28.0,24.0,6.0,104.0,78.0,7.875,9.0688,2.0928,0.75,2.0
61,0.0,0.0,28.0,35.0,30.0,15.0,97.0,65.0,8.474226804123711,8.4584,2.616,0.6701030927835051,2.0
62,0.0,0.0,32.0,35.0,37.0,4.0,126.0,90.0,7.904761904761905,10.9872,3.2264,0.7142857142857143,2.0
63,0.0,0.0,28.0,35.0,30.0,9.0,113.0,77.0,8.123893805309734,9.8536,2.616,0.6814159292035398,2.0
64,0.0,0.0,32.0,35.0,37.0,6.0,106.0,71.0,8.264150943396226,9.2432,3.2264,0.6698113207547169,2.0
65,0.0,0.0,25.0,35.0,26.0,3.0,109.0,79.0,8.20183486238532,9.5048,2.2672,0.7247706422018348,2.0
