,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1,1.0,1.0,3.0,4.0,35.0,0.0,35.0,0.0,0.35584,0.17968,0.0,5.0
2,0.0,0.0,5.0,5.0,27.0,0.0,31.0,0.0,0.56736,0.436,0.0,5.0
3,0.0,0.0,5.0,5.0,35.0,0.0,35.0,0.0,0.60096,0.436,0.0,5.0
4,0.0,0.0,5.0,5.0,9.0,0.0,9.0,0.0,0.472,0.436,0.0,5.0
5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
8,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
9,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.36,0.3488,0.0,5.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,5.0
13,6.0,6.0,32.0,32.0,38.0,2.0,50.0,12.0,2.9664,2.29888,0.24,5.0
14,3.0,3.0,31.0,52.0,39.0,5.0,151.0,113.0,11.39792,2.8168,0.7483443708609272,5.0
15,2.0,2.0,22.0,67.0,25.0,4.0,180.0,141.0,13.62944,1.92896,0.7833333333333333,5.0
16,0.0,0.0,23.0,59.0,24.0,2.0,190.0,150.0,15.86432,2.0928,0.7894736842105263,5.0
17,0.0,0.0,19.0,54.0,21.0,5.0,176.0,140.0,15.37744,1.8312,0.7954545454545454,5.0
18,0.0,0.0,23.0,58.0,23.0,3.0,172.0,132.0,14.94368,2.0056,0.7674418604651163,5.0
19,0.0,0.0,23.0,58.0,25.0,4.0,164.0,128.0,14.42272,2.18,0.7804878048780488,5.0
20,0.0,0.0,29.0,60.0,34.0,0.0,161.0,117.0,14.084,2.9648,0.7267080745341615,5.0
21,0.0,0.0,22.0,59.0,23.0,2.0,169.0,129.0,14.68208,2.0056,0.7633136094674556,5.0
22,0.0,0.0,17.0,60.0,20.0,2.0,196.0,158.0,17.03312,1.744,0.8061224489795918,5.0
23,0.0,0.0,24.0,60.0,27.0,4.0,165.0,129.0,14.77376,2.3544,0.7818181818181819,5.0
24,0.0,0.0,30.0,60.0,33.0,4.0,171.0,116.0,14.20704,2.8776,0.6783625730994152,5.0
25,0.0,0.0,18.0,62.0,19.0,0.0,206.0,152.0,16.10704,1.6568,0.7378640776699029,5.0
26,0.0,0.0,19.0,55.0,19.0,5.0,183.0,132.0,15.576,1.6568,0.7213114754098361,5.0
27,0.0,0.0,21.0,57.0,23.0,5.0,176.0,127.0,15.46688,2.0056,0.7215909090909091,5.0
28,0.0,0.0,21.0,60.0,23.0,4.0,174.0,124.0,15.20528,2.0056,0.7126436781609196,5.0
29,0.0,0.0,19.0,60.0,21.0,1.0,199.0,143.0,17.20864,1.8312,0.7185929648241206,5.0
30,0.0,0.0,23.0,59.0,25.0,3.0,181.0,129.0,15.8112,2.18,0.712707182320442,5.0
31,0.0,0.0,22.0,60.0,25.0,2.0,173.0,119.0,15.12032,2.18,0.6878612716763006,5.0
32,0.0,0.0,21.0,60.0,25.0,5.0,180.0,125.0,15.81792,2.18,0.6944444444444444,5.0
33,0.0,0.0,14.0,59.0,16.0,5.0,184.0,131.0,15.98224,1.3952,0.7119565217391305,5.0
34,0.0,0.0,14.0,55.0,15.0,7.0,177.0,132.0,15.05888,1.308,0.7457627118644068,5.0
35,0.0,0.0,11.0,62.0,14.0,3.0,230.0,175.0,18.11232,1.2208,0.7608695652173914,5.0
36,0.0,0.0,21.0,58.0,25.0,5.0,188.0,130.0,15.92624,2.18,0.6914893617021277,5.0
37,0.0,0.0,35.0,60.0,40.0,4.0,158.0,103.0,14.00352,3.488,0.6518987341772152,5.0
38,0.0,0.0,36.0,59.0,38.0,5.0,159.0,97.0,13.82688,3.3136,0.610062893081761,5.0
39,0.0,0.0,24.0,60.0,24.0,2.0,179.0,122.0,15.5552,2.0928,0.6815642458100558,5.0
40,0.0,0.0,15.0,60.0,16.0,3.0,181.0,127.0,15.89504,1.3952,0.7016574585635359,5.0
41,0.0,0.0,12.0,59.0,15.0,4.0,211.0,160.0,18.33552,1.308,0.7582938388625592,5.0
42,0.0,0.0,22.0,59.0,24.0,4.0,184.0,132.0,16.0784,2.0928,0.717391304347826,5.0
43,0.0,0.0,23.0,54.0,27.0,5.0,185.0,136.0,16.25616,2.3544,0.7351351351351352,5.0
44,0.0,0.0,26.0,58.0,27.0,1.0,185.0,135.0,15.76992,2.3544,0.7297297297297297,5.0
45,1.0,1.0,31.0,64.0,32.0,5.0,183.0,124.0,14.22432,2.70848,0.6775956284153005,5.0
46,0.0,0.0,17.0,60.0,18.0,2.0,183.0,125.0,15.82592,1.5696,0.6830601092896175,5.0
47,0.0,0.0,18.0,59.0,23.0,5.0,207.0,151.0,17.99568,2.0056,0.7294685990338164,5.0
48,0.0,0.0,14.0,60.0,15.0,2.0,212.0,163.0,18.68432,1.308,0.7688679245283019,5.0
49,0.0,0.0,22.0,60.0,24.0,3.0,174.0,117.0,15.1192,2.0928,0.6724137931034483,5.0
50,0.0,0.0,14.0,59.0,14.0,9.0,192.0,141.0,16.7648,1.2208,0.734375,5.0
51,0.0,0.0,21.0,55.0,23.0,2.0,180.0,120.0,15.64128,2.0056,0.6666666666666666,5.0
52,0.0,0.0,23.0,57.0,24.0,3.0,175.0,128.0,15.2064,2.0928,0.7314285714285714,5.0
53,0.0,0.0,22.0,58.0,22.0,5.0,173.0,123.0,15.29136,1.9184,0.7109826589595376,5.0
54,0.0,0.0,19.0,60.0,20.0,4.0,201.0,147.0,17.64352,1.744,0.7313432835820896,5.0
55,0.0,0.0,18.0,59.0,21.0,4.0,189.0,133.0,16.42384,1.8312,0.7037037037037037,5.0
56,0.0,0.0,27.0,60.0,28.0,2.0,179.0,126.0,15.82128,2.4416,0.7039106145251397,5.0
57,0.0,0.0,22.0,60.0,24.0,2.0,187.0,131.0,16.1656,2.0928,0.7005347593582888,5.0
58,0.0,0.0,16.0,59.0,19.0,0.0,194.0,141.0,17.032,1.6568,0.7268041237113402,5.0
59,0.0,0.0,22.0,59.0,23.0,1.0,178.0,121.0,15.29248,2.0056,0.6797752808988764,5.0
60,0.0,0.0,33.0,54.0,37.0,5.0,173.0,115.0,15.39536,3.2264,0.6647398843930635,5.0
61,0.0,0.0,23.0,57.0,26.0,2.0,184.0,126.0,16.08064,2.2672,0.6847826086956522,5.0
62,0.0,0.0,10.0,64.0,20.0,6.0,189.0,115.0,13.73792,0.9592,0.6084656084656085,5.0
63,3.0,3.0,48.0,19.0,69.0,1.0,126.0,14.0,4.80096,3.93984,0.1111111111111111,5.0
64,1.0,1.0,52.0,27.0,64.0,1.0,113.0,14.0,5.50432,4.45248,0.12389380530973451,5.0
65,2.0,2.0,42.0,35.0,50.0,0.0,84.0,6.0,4.12512,3.49856,0.07142857142857142,5.0
66,0.0,0.0,35.0,35.0,40.0,1.0,66.0,0.0,3.19872,3.052,0.0,5.0
67,2.0,2.0,42.0,44.0,53.0,2.0,96.0,27.0,5.29456,3.49856,0.28125,5.0
68,1.0,1.0,40.0,47.0,45.0,5.0,106.0,45.0,6.752,3.40608,0.42452830188679247,5.0
69,0.0,0.0,27.0,47.0,29.0,10.0,202.0,146.0,15.49616,2.3544,0.7227722772277227,5.0
70,0.0,0.0,27.0,49.0,29.0,6.0,206.0,155.0,16.66816,2.5288,0.7524271844660194,5.0
71,0.0,0.0,17.0,49.0,17.0,8.0,229.0,173.0,18.22928,1.4824,0.7554585152838428,5.0
72,0.0,0.0,20.0,56.0,20.0,3.0,199.0,148.0,16.45056,1.744,0.7437185929648241,5.0
73,0.0,0.0,18.0,50.0,20.0,3.0,211.0,158.0,16.66304,1.744,0.7488151658767772,5.0
74,0.0,0.0,24.0,51.0,29.0,2.0,205.0,146.0,15.82704,2.2672,0.7121951219512195,5.0
75,0.0,0.0,25.0,49.0,26.0,4.0,185.0,136.0,15.3304,2.2672,0.7351351351351352,5.0
76,0.0,0.0,16.0,50.0,20.0,5.0,224.0,165.0,17.37808,1.4824,0.7366071428571429,5.0
77,0.0,0.0,17.0,47.0,18.0,3.0,204.0,152.0,16.37936,1.5696,0.7450980392156863,5.0
78,0.0,0.0,17.0,49.0,21.0,1.0,230.0,169.0,18.07808,1.5696,0.7347826086956522,5.0
79,1.0,1.0,22.0,54.0,24.0,2.0,209.0,148.0,15.5112,1.92368,0.7081339712918661,5.0
80,0.0,0.0,11.0,54.0,14.0,5.0,234.0,175.0,19.0024,1.2208,0.7478632478632479,5.0
81,0.0,0.0,17.0,55.0,17.0,4.0,228.0,164.0,18.13376,1.4824,0.7192982456140351,5.0
82,0.0,0.0,17.0,58.0,18.0,8.0,212.0,146.0,16.65248,1.5696,0.6886792452830188,5.0
83,0.0,0.0,45.0,40.0,58.0,3.0,166.0,66.0,10.8464,3.924,0.39759036144578314,5.0
84,0.0,0.0,29.0,30.0,30.0,4.0,171.0,101.0,10.60528,2.616,0.5906432748538012,5.0
85,0.0,0.0,41.0,29.0,53.0,3.0,137.0,59.0,8.90704,3.5752,0.4306569343065693,5.0
86,0.0,0.0,25.0,29.0,26.0,5.0,158.0,107.0,11.39344,2.2672,0.6772151898734177,5.0
87,1.0,1.0,43.0,33.0,44.0,4.0,106.0,48.0,7.47888,3.66768,0.4528301886792453,5.0
88,0.0,0.0,22.0,36.0,22.0,5.0,152.0,98.0,11.67504,1.9184,0.6447368421052632,5.0
89,1.0,1.0,38.0,41.0,44.0,3.0,135.0,79.0,9.504,3.40608,0.5851851851851851,5.0
90,0.0,0.0,28.0,41.0,37.0,4.0,165.0,105.0,12.17104,2.616,0.6363636363636364,5.0
91,2.0,2.0,23.0,49.0,35.0,5.0,227.0,170.0,15.084,2.36496,0.748898678414097,5.0
92,0.0,0.0,25.0,46.0,28.0,5.0,158.0,105.0,12.38464,2.4416,0.6645569620253164,5.0
93,0.0,0.0,21.0,47.0,22.0,7.0,171.0,122.0,13.59344,1.9184,0.7134502923976608,5.0
94,0.0,0.0,32.0,40.0,41.0,7.0,158.0,93.0,10.4984,2.8776,0.5886075949367089,5.0
95,0.0,0.0,35.0,39.0,49.0,10.0,142.0,85.0,10.54032,3.2264,0.5985915492957746,5.0
96,0.0,0.0,22.0,39.0,24.0,5.0,153.0,116.0,12.46864,2.0928,0.7581699346405228,5.0
97,0.0,0.0,40.0,40.0,45.0,5.0,116.0,66.0,9.66624,3.6624,0.5689655172413793,5.0
98,0.0,0.0,26.0,40.0,28.0,6.0,135.0,94.0,11.47024,2.4416,0.6962962962962963,5.0
99,0.0,0.0,25.0,40.0,25.0,8.0,144.0,110.0,12.09968,2.18,0.7638888888888888,5.0
100,1.0,1.0,33.0,46.0,40.0,7.0,139.0,90.0,11.016,2.79568,0.6474820143884892,5.0
101,0.0,0.0,28.0,47.0,29.0,3.0,174.0,131.0,13.08208,2.5288,0.7528735632183908,5.0
102,0.0,0.0,34.0,43.0,34.0,3.0,142.0,101.0,12.43248,2.9648,0.7112676056338029,5.0
103,0.0,0.0,20.0,42.0,21.0,3.0,158.0,123.0,13.1416,1.8312,0.7784810126582279,5.0
104,0.0,0.0,37.0,44.0,40.0,8.0,137.0,90.0,10.84544,3.488,0.656934306569343,5.0
105,0.0,0.0,31.0,47.0,32.0,4.0,150.0,102.0,11.956,2.7904,0.68,5.0
106,0.0,0.0,22.0,47.0,25.0,2.0,172.0,134.0,14.49744,2.0928,0.7790697674418605,5.0
107,0.0,0.0,25.0,45.0,30.0,4.0,177.0,117.0,13.54736,2.4416,0.6610169491525424,5.0
108,0.0,0.0,29.0,47.0,32.0,4.0,157.0,106.0,12.89936,2.5288,0.6751592356687898,5.0
109,0.0,0.0,36.0,45.0,40.0,6.0,157.0,91.0,11.64384,3.2264,0.5796178343949044,5.0
110,0.0,0.0,18.0,44.0,19.0,5.0,172.0,133.0,14.02864,1.6568,0.7732558139534884,5.0
111,0.0,0.0,19.0,42.0,24.0,3.0,191.0,142.0,14.61152,2.0928,0.743455497382199,5.0
112,0.0,0.0,29.0,43.0,32.0,2.0,161.0,105.0,12.74096,2.7904,0.6521739130434783,5.0
113,0.0,0.0,26.0,44.0,31.0,5.0,164.0,114.0,13.67216,2.4416,0.6951219512195121,5.0
114,0.0,0.0,26.0,46.0,28.0,6.0,162.0,120.0,13.0952,2.4416,0.7407407407407407,5.0
115,0.0,0.0,41.0,47.0,43.0,1.0,154.0,90.0,11.64416,3.7496,0.5844155844155844,5.0
116,0.0,0.0,25.0,47.0,29.0,0.0,156.0,109.0,13.136,2.5288,0.6987179487179487,5.0
117,0.0,0.0,22.0,45.0,29.0,6.0,168.0,130.0,13.84464,1.9184,0.7738095238095238,5.0
118,0.0,0.0,20.0,46.0,23.0,4.0,162.0,122.0,13.664,1.9184,0.7530864197530864,5.0
119,0.0,0.0,28.0,43.0,29.0,4.0,154.0,113.0,12.5104,2.4416,0.7337662337662337,5.0
120,0.0,0.0,24.0,43.0,24.0,6.0,166.0,117.0,13.2552,2.0928,0.7048192771084337,5.0
121,0.0,0.0,23.0,44.0,26.0,4.0,178.0,135.0,14.0424,2.0928,0.7584269662921348,5.0
122,0.0,0.0,20.0,45.0,20.0,2.0,178.0,126.0,14.20992,1.744,0.7078651685393258,5.0
123,0.0,0.0,24.0,45.0,30.0,7.0,171.0,123.0,13.5728,2.18,0.7192982456140351,5.0
124,1.0,1.0,24.0,47.0,25.0,3.0,173.0,129.0,13.41136,2.09808,0.7456647398843931,5.0
125,1.0,1.0,22.0,50.0,28.0,2.0,191.0,143.0,15.37248,2.27248,0.7486910994764397,5.0
126,0.0,0.0,23.0,51.0,25.0,4.0,183.0,129.0,15.14448,2.18,0.7049180327868853,5.0
127,0.0,0.0,20.0,50.0,24.0,6.0,181.0,136.0,14.93888,1.9184,0.7513812154696132,5.0
128,0.0,0.0,34.0,46.0,41.0,3.0,157.0,101.0,12.16768,3.2264,0.643312101910828,5.0
129,0.0,0.0,21.0,49.0,25.0,4.0,185.0,129.0,14.57968,1.9184,0.6972972972972973,5.0
130,0.0,0.0,21.0,49.0,21.0,5.0,199.0,146.0,16.70848,1.8312,0.7336683417085427,5.0
131,0.0,0.0,33.0,50.0,37.0,4.0,164.0,104.0,13.09408,2.9648,0.6341463414634146,5.0
132,0.0,0.0,20.0,50.0,21.0,4.0,189.0,141.0,16.08656,1.8312,0.746031746031746,5.0
133,0.0,0.0,38.0,43.0,42.0,2.0,155.0,91.0,11.00608,3.4008,0.5870967741935483,5.0
134,0.0,0.0,46.0,32.0,52.0,3.0,128.0,49.0,8.12608,4.0112,0.3828125,5.0
135,0.0,0.0,40.0,27.0,49.0,2.0,84.0,23.0,5.28304,3.488,0.27380952380952384,5.0
136,3.0,3.0,36.0,35.0,58.0,3.0,82.0,14.0,3.74256,2.89344,0.17073170731707318,5.0
137,1.0,1.0,32.0,34.0,33.0,10.0,120.0,77.0,9.34528,2.70848,0.6416666666666667,5.0
138,1.0,1.0,32.0,40.0,37.0,6.0,150.0,99.0,10.97216,2.79568,0.66,5.0
139,1.0,1.0,33.0,43.0,37.0,14.0,123.0,78.0,8.56816,2.88288,0.6341463414634146,5.0
140,0.0,0.0,29.0,40.0,33.0,6.0,155.0,109.0,12.4792,2.616,0.7032258064516129,5.0
141,0.0,0.0,29.0,39.0,33.0,12.0,140.0,95.0,10.99664,2.616,0.6785714285714286,5.0
142,1.0,1.0,30.0,41.0,32.0,10.0,123.0,86.0,10.3912,2.70848,0.6991869918699187,5.0
143,0.0,0.0,35.0,43.0,35.0,10.0,111.0,70.0,9.38784,3.052,0.6306306306306306,5.0
144,0.0,0.0,35.0,39.0,38.0,10.0,123.0,70.0,9.3512,3.052,0.5691056910569106,5.0
145,0.0,0.0,27.0,38.0,28.0,12.0,138.0,94.0,10.90528,2.4416,0.6811594202898551,5.0
146,0.0,0.0,31.0,38.0,35.0,10.0,142.0,93.0,11.2496,2.7904,0.6549295774647887,5.0
147,0.0,0.0,31.0,42.0,36.0,16.0,134.0,82.0,10.72448,2.8776,0.6119402985074627,5.0
148,0.0,0.0,24.0,41.0,30.0,14.0,166.0,122.0,12.3176,2.3544,0.7349397590361446,5.0
149,1.0,1.0,36.0,48.0,37.0,4.0,148.0,100.0,11.0096,3.14448,0.6756756756756757,5.0
150,0.0,0.0,29.0,45.0,31.0,10.0,168.0,114.0,13.10016,2.7032,0.6785714285714286,5.0
151,0.0,0.0,29.0,46.0,35.0,4.0,157.0,111.0,12.02608,2.616,0.7070063694267515,5.0
152,1.0,1.0,36.0,52.0,39.0,6.0,152.0,94.0,11.89392,3.23168,0.618421052631579,5.0
153,0.0,0.0,24.0,49.0,24.0,2.0,164.0,110.0,13.23536,2.0928,0.6707317073170732,5.0
154,0.0,0.0,35.0,46.0,38.0,6.0,157.0,100.0,12.06032,3.052,0.6369426751592356,5.0
155,0.0,0.0,20.0,49.0,21.0,4.0,196.0,148.0,16.62128,1.8312,0.7551020408163265,5.0
156,1.0,1.0,36.0,52.0,47.0,4.0,147.0,87.0,11.62752,3.14448,0.5918367346938775,5.0
157,0.0,0.0,12.0,56.0,13.0,1.0,238.0,190.0,19.68304,1.1336,0.7983193277310925,5.0
158,0.0,0.0,18.0,55.0,19.0,3.0,223.0,172.0,18.47568,1.6568,0.7713004484304933,5.0
159,0.0,0.0,12.0,55.0,14.0,4.0,221.0,178.0,18.63888,1.2208,0.8054298642533937,5.0
160,0.0,0.0,19.0,55.0,23.0,4.0,199.0,152.0,17.048,2.0056,0.7638190954773869,5.0
161,0.0,0.0,46.0,35.0,48.0,6.0,127.0,45.0,8.94144,4.0984,0.3543307086614173,5.0
162,0.0,0.0,28.0,26.0,46.0,1.0,86.0,29.0,3.32704,2.4416,0.3372093023255814,5.0
163,1.0,1.0,38.0,30.0,48.0,2.0,73.0,18.0,5.09008,3.49328,0.2465753424657534,5.0
164,2.0,2.0,41.0,38.0,51.0,3.0,88.0,35.0,6.1832,3.58576,0.3977272727272727,5.0
165,1.0,1.0,39.0,39.0,43.0,0.0,50.0,0.0,3.41744,3.31888,0.0,5.0
166,0.0,0.0,40.0,40.0,40.0,0.0,49.0,1.0,3.64976,3.488,0.02040816326530612,5.0
167,2.0,2.0,31.0,53.0,38.0,19.0,194.0,137.0,13.27632,2.53936,0.7061855670103093,5.0
168,0.0,0.0,23.0,50.0,23.0,11.0,167.0,118.0,13.2536,2.0056,0.7065868263473054,5.0
169,0.0,0.0,22.0,49.0,26.0,14.0,166.0,126.0,13.70656,2.0056,0.7590361445783133,5.0
170,0.0,0.0,22.0,49.0,26.0,12.0,183.0,141.0,14.9976,2.0056,0.7704918032786885,5.0
171,0.0,0.0,27.0,51.0,28.0,13.0,159.0,120.0,13.90288,2.4416,0.7547169811320755,5.0
172,0.0,0.0,21.0,47.0,25.0,9.0,185.0,148.0,14.96304,2.0928,0.8,5.0
173,0.0,0.0,21.0,51.0,25.0,12.0,180.0,139.0,14.7432,1.8312,0.7722222222222223,5.0
174,0.0,0.0,18.0,49.0,21.0,9.0,194.0,156.0,16.41344,1.8312,0.8041237113402062,5.0
175,0.0,0.0,28.0,50.0,29.0,6.0,175.0,130.0,13.58624,2.4416,0.7428571428571429,5.0
176,0.0,0.0,21.0,50.0,21.0,8.0,194.0,144.0,16.19872,1.8312,0.7422680412371134,5.0
177,1.0,1.0,24.0,55.0,25.0,7.0,188.0,132.0,14.43712,2.01088,0.7021276595744681,5.0
178,0.0,0.0,16.0,54.0,18.0,6.0,221.0,172.0,18.71072,1.5696,0.7782805429864253,5.0
179,0.0,0.0,15.0,51.0,15.0,5.0,215.0,161.0,18.00976,1.308,0.7488372093023256,5.0
180,0.0,0.0,20.0,55.0,24.0,5.0,210.0,158.0,15.87312,2.0056,0.7523809523809524,5.0
181,0.0,0.0,11.0,53.0,14.0,7.0,249.0,184.0,19.89296,0.9592,0.7389558232931727,5.0
182,0.0,0.0,21.0,55.0,26.0,6.0,196.0,131.0,15.95088,2.0056,0.6683673469387755,5.0
183,0.0,0.0,17.0,56.0,20.0,5.0,220.0,151.0,17.93968,1.744,0.6863636363636364,5.0
184,0.0,0.0,29.0,55.0,30.0,7.0,195.0,134.0,16.38128,2.616,0.6871794871794872,5.0
185,0.0,0.0,18.0,56.0,22.0,6.0,216.0,154.0,17.43328,1.6568,0.7129629629629629,5.0
186,0.0,0.0,21.0,55.0,25.0,8.0,216.0,149.0,16.94768,1.9184,0.6898148148148148,5.0
187,0.0,0.0,17.0,54.0,24.0,4.0,242.0,184.0,19.91232,1.9184,0.7603305785123967,5.0
188,0.0,0.0,17.0,51.0,21.0,3.0,215.0,157.0,17.94752,1.8312,0.7302325581395349,5.0
189,0.0,0.0,23.0,52.0,27.0,3.0,195.0,141.0,15.48688,2.18,0.7230769230769231,5.0
190,0.0,0.0,11.0,55.0,11.0,3.0,233.0,171.0,19.40048,0.9592,0.7339055793991416,5.0
191,0.0,0.0,13.0,54.0,14.0,4.0,215.0,160.0,18.35744,1.2208,0.7441860465116279,5.0
192,0.0,0.0,15.0,56.0,17.0,4.0,230.0,168.0,19.2328,1.4824,0.7304347826086957,5.0
193,0.0,0.0,22.0,55.0,25.0,5.0,192.0,136.0,16.27696,2.18,0.7083333333333334,5.0
194,0.0,0.0,18.0,55.0,22.0,5.0,206.0,153.0,17.19088,1.744,0.7427184466019418,5.0
195,0.0,0.0,16.0,55.0,18.0,4.0,222.0,165.0,18.44912,1.5696,0.7432432432432432,5.0
196,0.0,0.0,13.0,52.0,14.0,2.0,229.0,171.0,18.7432,1.2208,0.7467248908296943,5.0
