devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retransmissions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,70.0,13.0,0.0
1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,6.0,6.0,70.0,13.0,0.17968
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.0,0.06826666666666666,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.5,0.05461333333333333,0.44288,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,8.142857142857142,0.05030175438596492,0.4416,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,11.4,0.035929824561403506,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,12.0,0.03413333333333333,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,16.8,0.024380952380952378,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,13.5,0.030340740740740738,0.44288,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,4.0,4.0,9.0,0.0,4.0,0.0,13.333333333333334,0.024575999999999997,0.36128,0.3488,0.0,2.0,10.0,70.0,13.0,0.3488
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,18.857142857142858,0.02172121212121212,0.4416,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,21.75,0.018832183908045978,0.44288,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,27.428571428571427,0.014933333333333335,0.4416,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,43.2,0.009481481481481481,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,48.0,0.008533333333333332,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,51.6,0.007937984496124031,0.436,0.436,0.0,2.0,10.0,70.0,13.0,0.436
1.0,1.0,7.0,7.0,13.0,0.0,7.0,0.0,24.46153846153846,0.02344251572327044,0.54208,0.52848,0.0,2.0,10.0,70.0,13.0,0.52848
0.0,0.0,9.0,10.0,9.0,0.0,10.0,0.0,30.0,0.027306666666666667,0.872,0.7848,0.0,4.0,8.0,70.0,13.0,0.7848
0.0,0.0,10.0,9.0,10.0,0.0,9.0,0.0,29.0,0.02542344827586207,0.7848,0.872,0.0,2.0,10.0,70.0,13.0,0.872
0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,31.5,0.026006349206349203,0.872,0.872,0.0,2.0,10.0,70.0,13.0,0.872
0.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,35.333333333333336,0.020866415094339622,0.7848,0.7848,0.0,2.0,10.0,70.0,13.0,0.7848
1.0,1.0,14.0,14.0,18.0,0.0,14.0,0.0,21.0,0.05461333333333333,1.14688,1.13888,0.0,2.0,10.0,70.0,13.0,1.13888
1.0,1.0,18.0,19.0,26.0,0.0,19.0,0.0,16.22222222222222,0.09594739726027397,1.59408,1.48768,0.0,4.0,8.0,70.0,13.0,1.48768
0.0,0.0,20.0,19.0,25.0,0.0,19.0,0.0,18.875,0.08246251655629139,1.66928,1.744,0.0,3.0,9.0,70.0,13.0,1.744
1.0,1.0,24.0,24.0,25.0,0.0,24.0,0.0,19.56,0.10051533742331288,2.012,2.01088,0.0,3.0,9.0,70.0,13.0,2.01088
0.0,0.0,25.0,25.0,30.0,0.0,25.0,0.0,18.7,0.1095187165775401,2.19248,2.18,0.0,3.0,9.0,70.0,13.0,2.18
0.0,0.0,23.0,23.0,23.0,0.0,23.0,0.0,23.347826086956523,0.08069959031657355,2.0056,2.0056,0.0,6.0,6.0,70.0,13.0,2.0056
0.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,27.5,0.07149381818181817,2.0928,2.0928,0.0,3.0,9.0,70.0,13.0,2.0928
0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,30.0,0.06826666666666666,2.18,2.18,0.0,2.0,10.0,70.0,13.0,2.18
1.0,1.0,28.0,29.0,29.0,0.0,29.0,0.0,26.0,0.09137230769230768,2.448,2.35968,0.0,5.0,7.0,70.0,13.0,2.35968
0.0,0.0,30.0,29.0,35.0,1.0,30.0,1.0,26.82857142857143,0.0885503727369542,2.62848,2.616,0.03333333333333333,3.0,9.0,70.0,13.0,1.308
0.0,0.0,29.0,29.0,29.0,1.0,30.0,1.0,30.5,0.0778911475409836,2.616,2.5288,0.03333333333333333,5.0,7.0,70.0,13.0,1.2644
0.0,0.0,30.0,30.0,30.0,1.0,31.0,1.0,33.0,0.07447272727272727,2.7032,2.616,0.03225806451612903,5.0,7.0,70.0,13.0,1.308
0.0,0.0,30.0,30.0,30.0,3.0,33.0,3.0,33.63636363636363,0.07306378378378378,2.8776,2.616,0.09090909090909091,5.0,7.0,70.0,13.0,0.654
1.0,1.0,31.0,34.0,37.0,6.0,61.0,32.0,18.549295774647888,0.15015556567957478,5.2688,2.62128,0.5245901639344263,2.0,10.0,70.0,13.0,0.07943272727272728
1.0,1.0,40.0,37.0,44.0,15.0,85.0,47.0,17.258426966292134,0.17562666666666663,7.33808,3.40608,0.5529411764705883,5.0,7.0,70.0,13.0,0.07096000000000001
1.0,1.0,43.0,45.0,46.0,20.0,101.0,56.0,16.009615384615383,0.23026162162162164,8.732,3.66768,0.5544554455445545,6.0,6.0,70.0,13.0,0.06434526315789474
0.0,0.0,42.0,44.0,42.0,7.0,80.0,36.0,14.2875,0.25228206474190723,6.976,3.6624,0.45,6.0,6.0,70.0,13.0,0.09898378378378378
1.0,1.0,40.0,49.0,42.0,22.0,134.0,88.0,15.488888888888889,0.2591586800573888,11.604,3.49328,0.6567164179104478,3.0,9.0,70.0,13.0,0.039250337078651686
0.0,0.0,38.0,49.0,38.0,19.0,148.0,103.0,11.695945945945946,0.3432026805314846,12.9056,3.3136,0.6959459459459459,5.0,7.0,70.0,13.0,0.03186153846153846
0.0,0.0,38.0,47.0,38.0,14.0,145.0,99.0,11.565517241379311,0.33290685748360166,12.644,3.3136,0.6827586206896552,4.0,8.0,70.0,13.0,0.033136
0.0,0.0,46.0,50.0,46.0,14.0,122.0,78.0,10.844262295081966,0.3777112622826909,10.6384,4.0112,0.639344262295082,5.0,7.0,70.0,13.0,0.05077468354430379
0.0,0.0,35.0,50.0,35.0,11.0,140.0,97.0,9.728571428571428,0.42102790014684294,12.208,3.052,0.6928571428571428,6.0,6.0,70.0,13.0,0.031142857142857142
1.0,1.0,32.0,49.0,36.0,12.0,111.0,72.0,9.534883720930232,0.42098887804878055,9.6456,2.70848,0.6486486486486487,5.0,7.0,70.0,13.0,0.03710246575342466
1.0,1.0,20.0,20.0,25.0,1.0,20.0,2.0,11.555555555555555,0.14178461538461537,1.76,1.66208,0.1,4.0,8.0,70.0,13.0,0.5540266666666667
0.0,0.0,20.0,20.0,22.0,0.0,20.0,0.0,13.1875,0.1242388625592417,1.82464,1.744,0.0,3.0,9.0,70.0,13.0,1.744
0.0,0.0,20.0,20.0,30.0,2.0,20.0,0.0,13.058823529411764,0.12546306306306307,1.828,1.744,0.0,2.0,10.0,70.0,13.0,1.744
4.0,4.0,40.0,38.0,56.0,0.0,42.0,5.0,12.527027027027026,0.24849950377562027,3.25312,3.16032,0.11904761904761904,5.0,7.0,70.0,13.0,0.52672
1.0,1.0,39.0,40.0,49.0,0.0,42.0,2.0,16.016949152542374,0.20458328042328042,3.624,3.31888,0.047619047619047616,2.0,10.0,70.0,13.0,1.1062933333333334
1.0,1.0,49.0,50.0,53.0,4.0,71.0,21.0,15.0,0.2730666666666666,6.12656,4.19088,0.29577464788732394,5.0,7.0,70.0,13.0,0.19049454545454544
0.0,0.0,50.0,49.0,50.0,0.0,59.0,10.0,18.864406779661017,0.2127859119496855,5.1448,4.36,0.1694915254237288,3.0,9.0,70.0,13.0,0.3963636363636364
0.0,0.0,48.0,49.0,48.0,2.0,63.0,14.0,20.428571428571427,0.19649342657342658,5.4936,4.1856,0.2222222222222222,5.0,7.0,70.0,13.0,0.27904
0.0,0.0,49.0,47.0,49.0,0.0,57.0,10.0,21.789473684210527,0.17670183574879225,4.9704,4.2728,0.17543859649122806,4.0,8.0,70.0,13.0,0.38843636363636364
1.0,1.0,55.0,57.0,59.0,0.0,63.0,8.0,21.402985074626866,0.21816769874476985,5.42,4.71408,0.12698412698412698,4.0,8.0,70.0,13.0,0.5237866666666666
2.0,2.0,37.0,63.0,45.0,38.0,186.0,143.0,15.558823529411764,0.3317063137996219,16.03776,3.14976,0.7688172043010753,3.0,9.0,70.0,13.0,0.021873333333333335
0.0,0.0,36.0,64.0,36.0,20.0,190.0,138.0,11.41578947368421,0.45926565237436606,16.568,3.1392,0.7263157894736842,5.0,7.0,70.0,13.0,0.022584172661870506
0.0,0.0,25.0,63.0,27.0,14.0,210.0,164.0,9.214285714285714,0.5601041860465117,18.312,2.3544,0.780952380952381,6.0,6.0,70.0,13.0,0.01426909090909091
0.0,0.0,35.0,63.0,36.0,9.0,196.0,144.0,8.724489795918368,0.5915486315789473,17.0912,3.1392,0.7346938775510204,4.0,8.0,70.0,13.0,0.021649655172413795
0.0,0.0,33.0,64.0,33.0,7.0,209.0,157.0,8.210526315789474,0.6385558974358974,18.2248,2.8776,0.7511961722488039,3.0,9.0,70.0,13.0,0.0182126582278481
0.0,0.0,30.0,60.0,35.0,9.0,196.0,149.0,7.794117647058823,0.6306294339622642,17.11424,2.9648,0.7602040816326531,4.0,8.0,70.0,13.0,0.019765333333333333
0.0,0.0,37.0,51.0,41.0,9.0,143.0,96.0,8.324503311258278,0.5018821957040572,12.49264,3.5752,0.6713286713286714,2.0,10.0,70.0,13.0,0.036857731958762886
0.0,0.0,34.0,55.0,38.0,11.0,149.0,103.0,9.095541401273886,0.4953635854341736,13.01584,3.3136,0.6912751677852349,4.0,8.0,70.0,13.0,0.03186153846153846
0.0,0.0,28.0,55.0,32.0,11.0,188.0,143.0,8.326530612244898,0.541113725490196,16.41664,2.7904,0.7606382978723404,5.0,7.0,70.0,13.0,0.01937777777777778
0.0,0.0,26.0,54.0,27.0,15.0,163.0,119.0,8.596491228070175,0.5145913469387755,14.23664,2.3544,0.7300613496932515,5.0,7.0,70.0,13.0,0.019620000000000002
0.0,0.0,58.0,40.0,63.0,5.0,106.0,43.0,9.13740458015267,0.35861386800334166,9.31344,5.232,0.4056603773584906,4.0,8.0,70.0,13.0,0.11890909090909091
0.0,0.0,36.0,36.0,51.0,4.0,54.0,24.0,10.813953488372093,0.27271432258064515,4.80688,3.1392,0.4444444444444444,3.0,9.0,70.0,13.0,0.125568
1.0,1.0,41.0,39.0,46.0,9.0,100.0,55.0,9.518181818181818,0.33566074498567333,8.3392,3.49328,0.55,2.0,10.0,70.0,13.0,0.06238
0.0,0.0,46.0,40.0,50.0,14.0,104.0,56.0,9.935779816513762,0.3297979686057248,9.08144,4.0984,0.5384615384615384,3.0,9.0,70.0,13.0,0.07190175438596491
1.0,1.0,40.0,45.0,44.0,15.0,115.0,74.0,10.942622950819672,0.33688449438202245,9.97408,3.66768,0.6434782608695652,6.0,6.0,70.0,13.0,0.0489024
0.0,0.0,40.0,45.0,41.0,10.0,119.0,75.0,9.252100840336135,0.3984392370572207,10.3768,3.5752,0.6302521008403361,2.0,10.0,70.0,13.0,0.0470421052631579
0.0,0.0,43.0,45.0,47.0,10.0,103.0,68.0,9.336206896551724,0.39484986149584483,9.0336,3.8368,0.6601941747572816,5.0,7.0,70.0,13.0,0.05560579710144928
1.0,1.0,41.0,50.0,42.0,11.0,111.0,73.0,8.84873949579832,0.46289078822412155,9.54784,3.49328,0.6576576576576577,3.0,9.0,70.0,13.0,0.04720648648648649
0.0,0.0,35.0,49.0,35.0,19.0,119.0,74.0,9.453781512605042,0.4246004622222222,10.3768,3.052,0.6218487394957983,6.0,6.0,70.0,13.0,0.04069333333333333
0.0,0.0,44.0,49.0,44.0,9.0,119.0,77.0,8.857142857142858,0.4532025806451612,10.40816,3.8368,0.6470588235294118,3.0,9.0,70.0,13.0,0.049189743589743595
0.0,0.0,39.0,50.0,41.0,11.0,129.0,84.0,10.279069767441861,0.39847963800904973,11.2488,3.5752,0.6511627906976745,5.0,7.0,70.0,13.0,0.042061176470588234
0.0,0.0,50.0,50.0,53.0,11.0,115.0,69.0,9.84,0.416260162601626,10.06624,4.36,0.6,3.0,9.0,70.0,13.0,0.06228571428571429
1.0,1.0,44.0,56.0,52.0,12.0,138.0,93.0,9.13375796178344,0.5022598605299861,11.36208,3.92928,0.6739130434782609,4.0,8.0,70.0,13.0,0.04180085106382979
0.0,0.0,36.0,52.0,38.0,15.0,149.0,105.0,9.254901960784315,0.4602793220338983,13.00432,3.3136,0.7046979865771812,4.0,8.0,70.0,13.0,0.03126037735849057
0.0,0.0,38.0,56.0,40.0,11.0,152.0,108.0,9.233532934131736,0.4968325810635538,13.3088,3.488,0.7105263157894737,4.0,8.0,70.0,13.0,0.032
0.0,0.0,27.0,54.0,32.0,12.0,196.0,151.0,8.794117647058824,0.5030271571906354,17.11424,2.7904,0.7704081632653061,4.0,8.0,70.0,13.0,0.018357894736842104
0.0,0.0,39.0,54.0,45.0,8.0,161.0,108.0,8.491228070175438,0.5209705785123966,14.06448,3.4008,0.6708074534161491,6.0,6.0,70.0,13.0,0.0312
1.0,1.0,38.0,54.0,44.0,10.0,158.0,121.0,8.470588235294118,0.5222399999999999,13.4184,3.58048,0.7658227848101266,4.0,8.0,70.0,13.0,0.029348196721311476
0.0,0.0,36.0,59.0,38.0,13.0,168.0,118.0,8.705202312138729,0.5552174236387782,14.66224,3.2264,0.7023809523809523,5.0,7.0,70.0,13.0,0.027112605042016805
0.0,0.0,46.0,49.0,49.0,7.0,125.0,74.0,9.24812030075188,0.4340427967479675,10.92304,4.2728,0.592,2.0,10.0,70.0,13.0,0.05697066666666667
0.0,0.0,31.0,50.0,32.0,11.0,168.0,123.0,8.863636363636363,0.46211282051282054,14.67264,2.7904,0.7321428571428571,4.0,8.0,70.0,13.0,0.022503225806451612
0.0,0.0,38.0,49.0,47.0,7.0,149.0,105.0,8.092592592592593,0.4960190389016017,13.03808,3.6624,0.7046979865771812,2.0,10.0,70.0,13.0,0.03455094339622641
0.0,0.0,41.0,46.0,44.0,9.0,115.0,76.0,8.353846153846154,0.45108802946593,10.08224,3.5752,0.6608695652173913,4.0,8.0,70.0,13.0,0.04643116883116883
0.0,0.0,43.0,45.0,45.0,9.0,105.0,57.0,8.944954128440367,0.41212061538461536,9.16752,3.8368,0.5428571428571428,5.0,7.0,70.0,13.0,0.06615172413793104
0.0,0.0,37.0,44.0,39.0,10.0,117.0,74.0,8.87603305785124,0.406091322160149,10.21392,3.4008,0.6324786324786325,2.0,10.0,70.0,13.0,0.045343999999999995
0.0,0.0,40.0,44.0,44.0,13.0,110.0,68.0,9.813559322033898,0.3672958894645942,9.62128,3.5752,0.6181818181818182,6.0,6.0,70.0,13.0,0.05181449275362319
0.0,0.0,42.0,44.0,43.0,13.0,123.0,81.0,9.092307692307692,0.39643181049069376,10.75696,3.7496,0.6585365853658537,2.0,10.0,70.0,13.0,0.04572682926829268
1.0,1.0,41.0,48.0,52.0,10.0,120.0,77.0,8.458646616541353,0.46486869333333336,10.42128,3.84208,0.6416666666666667,3.0,9.0,70.0,13.0,0.0492574358974359
0.0,0.0,39.0,51.0,44.0,9.0,124.0,78.0,8.71875,0.47918795698924727,10.82432,3.6624,0.6290322580645161,2.0,10.0,70.0,13.0,0.04635949367088608
0.0,0.0,34.0,49.0,35.0,8.0,130.0,88.0,8.194029850746269,0.4898786156648452,11.34752,3.052,0.676923076923077,2.0,10.0,70.0,13.0,0.03429213483146067
0.0,0.0,40.0,46.0,47.0,8.0,124.0,82.0,7.764705882352941,0.4853139393939394,10.8568,3.8368,0.6612903225806451,2.0,10.0,70.0,13.0,0.046226506024096385
0.0,0.0,36.0,52.0,41.0,10.0,125.0,88.0,7.891304347826087,0.5398144352617079,10.5392,3.3136,0.704,2.0,10.0,70.0,13.0,0.03723146067415731
0.0,0.0,43.0,51.0,43.0,5.0,122.0,74.0,8.071428571428571,0.517618407079646,10.64992,3.7496,0.6065573770491803,4.0,8.0,70.0,13.0,0.049994666666666666
0.0,0.0,37.0,49.0,40.0,10.0,121.0,76.0,8.261904761904763,0.4858540634005763,10.56704,3.2264,0.628099173553719,3.0,9.0,70.0,13.0,0.0419012987012987
0.0,0.0,40.0,48.0,40.0,7.0,117.0,72.0,8.512820512820513,0.4619103614457832,10.2024,3.488,0.6153846153846154,3.0,9.0,70.0,13.0,0.04778082191780822
0.0,0.0,38.0,49.0,39.0,10.0,130.0,90.0,8.233576642335766,0.48752567375886524,11.36736,3.4008,0.6923076923076923,2.0,10.0,70.0,13.0,0.03737142857142857
0.0,0.0,37.0,50.0,41.0,8.0,119.0,81.0,8.169230769230769,0.5013935969868173,10.41968,3.5752,0.680672268907563,4.0,8.0,70.0,13.0,0.0436
1.0,1.0,39.0,53.0,46.0,11.0,129.0,82.0,8.227941176470589,0.5276848614834674,10.8544,3.31888,0.6356589147286822,6.0,6.0,70.0,13.0,0.03998650602409639
0.0,0.0,37.0,54.0,41.0,4.0,154.0,106.0,8.121019108280255,0.5447198117647059,13.436,3.3136,0.6883116883116883,4.0,8.0,70.0,13.0,0.03096822429906542
0.0,0.0,31.0,53.0,38.0,8.0,178.0,133.0,7.803370786516854,0.5563954499640028,15.112,3.3136,0.7471910112359551,6.0,6.0,70.0,13.0,0.024728358208955224
0.0,0.0,36.0,54.0,40.0,4.0,162.0,110.0,8.074074074074074,0.5478869724770642,13.96256,3.488,0.6790123456790124,2.0,10.0,70.0,13.0,0.03142342342342342
0.0,0.0,36.0,55.0,36.0,7.0,145.0,99.0,8.26923076923077,0.5448632558139535,12.68688,3.1392,0.6827586206896552,5.0,7.0,70.0,13.0,0.031392
0.0,0.0,40.0,55.0,43.0,11.0,153.0,102.0,9.531645569620252,0.4726990703851262,13.35424,3.488,0.6666666666666666,5.0,7.0,70.0,13.0,0.03386407766990291
1.0,1.0,45.0,39.0,69.0,2.0,59.0,14.0,9.925531914893616,0.3218850160771704,4.74256,3.84208,0.23728813559322035,4.0,8.0,70.0,13.0,0.2561386666666667
4.0,4.0,60.0,49.0,79.0,2.0,76.0,18.0,11.03883495145631,0.36363257695690415,6.20176,4.90432,0.23684210526315788,3.0,9.0,70.0,13.0,0.25812210526315793
0.0,0.0,37.0,50.0,48.0,15.0,140.0,92.0,10.470967741935484,0.39117683302526185,12.25584,4.0984,0.6571428571428571,3.0,9.0,70.0,13.0,0.04406881720430107
0.0,0.0,32.0,50.0,41.0,4.0,137.0,92.0,8.680851063829786,0.4718431372549019,11.79408,3.49328,0.6715328467153284,3.0,9.0,70.0,13.0,0.037562150537634405
