devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retransmissions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,100.0,5.0,0.0
1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,2.0,10.0,100.0,5.0,0.17968
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.0,0.06826666666666666,0.436,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.0,0.058514285714285706,0.4544,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,7.0,0.058514285714285706,0.46464,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.928571428571429,0.051661261261261256,0.46016,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,8.727272727272727,0.04693333333333334,0.45312,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,10.5,0.039009523809523806,0.4544,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,13.090909090909092,0.03128888888888888,0.45312,0.436,0.0,6.0,6.0,100.0,5.0,0.436
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,16.5,0.01985939393939394,0.36032,0.3488,0.0,6.0,6.0,100.0,5.0,0.3488
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,22.666666666666668,0.018070588235294116,0.44752,0.436,0.0,2.0,10.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,22.666666666666668,0.018070588235294116,0.44752,0.436,0.0,6.0,6.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,24.0,0.017066666666666664,0.44752,0.436,0.0,6.0,6.0,100.0,5.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,29.333333333333332,0.013963636363636366,0.44752,0.436,0.0,6.0,6.0,100.0,5.0,0.436
2.0,2.0,12.0,14.0,14.0,4.0,35.0,22.0,15.365853658536585,0.07463822222222222,2.90192,0.88256,0.6285714285714286,6.0,6.0,100.0,5.0,0.03837217391304348
0.0,0.0,15.0,15.0,15.0,7.0,65.0,50.0,11.217391304347826,0.10954418604651163,5.67952,1.308,0.7692307692307693,2.0,10.0,100.0,5.0,0.02564705882352941
0.0,0.0,13.0,15.0,13.0,11.0,63.0,48.0,9.134328358208956,0.1345254901960784,5.50512,1.1336,0.7619047619047619,2.0,10.0,100.0,5.0,0.02313469387755102
0.0,0.0,9.0,15.0,9.0,12.0,63.0,48.0,9.402985074626866,0.13068190476190475,5.50512,0.7848,0.7619047619047619,2.0,10.0,100.0,5.0,0.016016326530612246
1.0,1.0,16.0,19.0,17.0,10.0,92.0,73.0,8.65979381443299,0.17973638095238095,7.4616,1.31328,0.7934782608695652,2.0,10.0,100.0,5.0,0.01774702702702703
0.0,0.0,12.0,20.0,12.0,11.0,87.0,69.0,8.307692307692308,0.19721481481481482,7.59792,1.0464,0.7931034482758621,2.0,10.0,100.0,5.0,0.014948571428571429
0.0,0.0,12.0,20.0,12.0,15.0,93.0,72.0,9.34020618556701,0.17541368653421632,8.12112,1.0464,0.7741935483870968,2.0,10.0,100.0,5.0,0.014334246575342467
0.0,0.0,13.0,20.0,14.0,13.0,107.0,86.0,7.891891891891892,0.20760547945205476,9.34192,1.2208,0.8037383177570093,2.0,10.0,100.0,5.0,0.014032183908045979
0.0,0.0,17.0,17.0,18.0,6.0,96.0,79.0,8.22,0.1694209245742092,8.38272,1.5696,0.8229166666666666,2.0,10.0,100.0,5.0,0.019620000000000002
0.0,0.0,14.0,20.0,15.0,13.0,103.0,83.0,8.91588785046729,0.18376184486373168,8.99312,1.308,0.8058252427184466,2.0,10.0,100.0,5.0,0.015571428571428573
0.0,0.0,12.0,21.0,13.0,7.0,108.0,88.0,8.410714285714286,0.20453910828025473,9.42912,1.1336,0.8148148148148148,2.0,10.0,100.0,5.0,0.012737078651685392
0.0,0.0,18.0,20.0,21.0,9.0,88.0,68.0,7.630434782608695,0.21471908831908834,7.68512,1.8312,0.7727272727272727,2.0,10.0,100.0,5.0,0.026539130434782607
0.0,0.0,13.0,19.0,14.0,12.0,90.0,71.0,7.404255319148936,0.2102142528735632,7.85952,1.2208,0.7888888888888889,2.0,10.0,100.0,5.0,0.016955555555555557
0.0,0.0,12.0,20.0,12.0,7.0,94.0,74.0,8.142857142857142,0.20120701754385967,8.20832,1.0464,0.7872340425531915,2.0,10.0,100.0,5.0,0.013951999999999999
0.0,0.0,16.0,20.0,18.0,12.0,92.0,72.0,8.25,0.1985939393939394,8.03392,1.5696,0.782608695652174,2.0,10.0,100.0,5.0,0.0215013698630137
0.0,0.0,10.0,20.0,10.0,11.0,104.0,84.0,8.666666666666666,0.18904615384615384,9.08032,0.872,0.8076923076923077,2.0,10.0,100.0,5.0,0.010258823529411765
0.0,0.0,12.0,19.0,13.0,11.0,99.0,80.0,8.330097087378642,0.18685016317016317,8.64432,1.1336,0.8080808080808081,2.0,10.0,100.0,5.0,0.013995061728395061
0.0,0.0,14.0,18.0,15.0,4.0,95.0,77.0,8.424242424242424,0.17503769784172662,8.29552,1.308,0.8105263157894737,2.0,10.0,100.0,5.0,0.01676923076923077
0.0,0.0,11.0,20.0,12.0,16.0,98.0,78.0,8.352941176470589,0.1961464788732394,8.55712,1.0464,0.7959183673469388,2.0,10.0,100.0,5.0,0.013245569620253165
0.0,0.0,15.0,20.0,16.0,11.0,97.0,77.0,9.148514851485148,0.1790891774891775,8.46992,1.3952,0.7938144329896907,2.0,10.0,100.0,5.0,0.017887179487179487
0.0,0.0,11.0,21.0,11.0,14.0,98.0,79.0,7.647058823529412,0.22496492307692303,8.55712,0.9592,0.8061224489795918,2.0,10.0,100.0,5.0,0.01199
0.0,0.0,16.0,19.0,17.0,7.0,94.0,74.0,8.26530612244898,0.18831486419753082,8.20832,1.4824,0.7872340425531915,2.0,10.0,100.0,5.0,0.019765333333333333
