devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,100.0,11.0
1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,6.6,0.06206060606060606,0.44848,0.436,0.0,5.0,7.0,100.0,11.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.875,0.052012698412698406,0.44288,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,8.4,0.048761904761904756,0.44848,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,10.285714285714286,0.03982222222222222,0.4416,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,16.8,0.024380952380952378,0.436,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,12.0,0.03413333333333333,0.44848,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,24.0,0.017066666666666664,0.436,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,24.0,0.013653333333333333,0.3488,0.3488,0.0,2.0,10.0,100.0,11.0
0.0,0.0,5.0,5.0,15.0,0.0,5.0,0.0,15.2,0.026947368421052626,0.46096,0.436,0.0,2.0,10.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,36.0,0.011377777777777777,0.436,0.436,0.0,3.0,9.0,100.0,11.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,27.0,0.015170370370370369,0.44848,0.436,0.0,2.0,10.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,48.0,0.008533333333333332,0.436,0.436,0.0,2.0,10.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,11.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,100.0,11.0
1.0,1.0,9.0,10.0,10.0,0.0,10.0,0.0,27.818181818181817,0.029448366013071898,0.7912,0.70288,0.0,5.0,7.0,100.0,11.0
1.0,1.0,13.0,12.0,14.0,0.0,12.0,0.0,21.692307692307693,0.04531744680851064,0.9656,1.05168,0.0,5.0,7.0,100.0,11.0
1.0,1.0,17.0,17.0,21.0,0.0,17.0,0.0,18.714285714285715,0.0744158778625954,1.40848,1.40048,0.0,5.0,7.0,100.0,11.0
0.0,0.0,20.0,20.0,22.0,0.0,20.0,0.0,19.09090909090909,0.08582095238095237,1.7496,1.744,0.0,5.0,7.0,100.0,11.0
0.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,23.25,0.07046881720430107,1.744,1.744,0.0,5.0,7.0,100.0,11.0
1.0,1.0,24.0,24.0,28.0,0.0,24.0,0.0,19.392857142857142,0.10138165745856353,2.01888,2.01088,0.0,5.0,7.0,100.0,11.0
0.0,0.0,24.0,25.0,26.0,1.0,26.0,1.0,22.714285714285715,0.0901635220125786,2.2728,2.0928,0.038461538461538464,6.0,6.0,100.0,11.0
0.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,27.25,0.0721497247706422,2.0928,2.0928,0.0,4.0,8.0,100.0,11.0
2.0,2.0,34.0,33.0,36.0,3.0,36.0,3.0,21.55263157894737,0.1254306227106227,2.9776,2.80096,0.08333333333333333,4.0,8.0,100.0,11.0
0.0,0.0,34.0,34.0,34.0,1.0,35.0,1.0,20.485714285714284,0.13596206415620643,3.052,2.9648,0.02857142857142857,3.0,9.0,100.0,11.0
1.0,1.0,38.0,38.0,40.0,5.0,50.0,12.0,21.11764705882353,0.14741036211699163,4.2792,3.31888,0.24,3.0,9.0,100.0,11.0
0.0,0.0,38.0,39.0,38.0,1.0,40.0,1.0,19.65,0.16258931297709922,3.488,3.3136,0.025,3.0,9.0,100.0,11.0
0.0,0.0,27.0,39.0,27.0,15.0,93.0,59.0,14.195876288659793,0.2250569063180828,8.12112,2.3544,0.6344086021505376,2.0,10.0,100.0,11.0
0.0,0.0,19.0,39.0,28.0,19.0,115.0,86.0,10.5,0.30427428571428566,10.04048,2.0056,0.7478260869565218,2.0,10.0,100.0,11.0
0.0,0.0,25.0,40.0,26.0,12.0,113.0,82.0,8.442477876106194,0.3881324947589099,9.8536,2.2672,0.7256637168141593,3.0,9.0,100.0,11.0
0.0,0.0,18.0,38.0,18.0,11.0,116.0,89.0,8.379310344827585,0.3715055144032922,10.1152,1.5696,0.7672413793103449,4.0,8.0,100.0,11.0
0.0,0.0,24.0,39.0,26.0,4.0,121.0,88.0,8.429752066115702,0.3790004705882353,10.5512,2.2672,0.7272727272727273,5.0,7.0,100.0,11.0
0.0,0.0,21.0,41.0,23.0,9.0,121.0,90.0,8.03305785123967,0.41811226337448554,10.1416,2.0056,0.743801652892562,5.0,7.0,100.0,11.0
0.0,0.0,20.0,39.0,21.0,12.0,125.0,94.0,8.304,0.38473988439306356,10.73616,1.8312,0.752,4.0,8.0,100.0,11.0
0.0,0.0,21.0,38.0,21.0,14.0,102.0,75.0,8.5,0.3662305882352941,8.8944,1.8312,0.7352941176470589,5.0,7.0,100.0,11.0
1.0,1.0,30.0,41.0,31.0,2.0,116.0,78.0,8.23076923076923,0.40806878504672894,10.0344,2.53408,0.6724137931034483,5.0,7.0,100.0,11.0
0.0,0.0,28.0,44.0,32.0,5.0,98.0,64.0,8.394495412844037,0.4293861420765026,8.57552,2.5288,0.6530612244897959,4.0,8.0,100.0,11.0
1.0,1.0,49.0,29.0,59.0,3.0,60.0,12.0,9.542168674698795,0.24896646464646469,5.2112,4.19088,0.2,2.0,10.0,100.0,11.0
1.0,1.0,34.0,33.0,38.0,1.0,38.0,6.0,11.60377358490566,0.23297248780487806,3.27648,2.88288,0.15789473684210525,6.0,6.0,100.0,11.0
0.0,0.0,35.0,35.0,35.0,1.0,37.0,2.0,13.466666666666667,0.21291089108910888,3.24944,3.052,0.05405405405405406,3.0,9.0,100.0,11.0
0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,14.931818181818182,0.1920194824961948,3.16224,3.052,0.027777777777777776,2.0,10.0,100.0,11.0
0.0,0.0,33.0,33.0,33.0,0.0,33.0,0.0,14.926829268292684,0.18110745098039216,2.90064,2.8776,0.0,2.0,10.0,100.0,11.0
1.0,1.0,38.0,38.0,40.0,3.0,48.0,10.0,15.421052631578947,0.20186430034129693,4.12784,3.23168,0.20833333333333334,4.0,8.0,100.0,11.0
1.0,1.0,43.0,44.0,47.0,8.0,70.0,26.0,14.560975609756097,0.2475438525963149,6.05344,3.66768,0.37142857142857144,5.0,7.0,100.0,11.0
