devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retrans_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,40.0,23.0,0.0
1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,2.0,10.0,40.0,23.0,0.17968
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.6,0.06206060606060606,0.436,0.436,0.0,4.0,8.0,40.0,23.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.875,0.052012698412698406,0.44288,0.436,0.0,2.0,10.0,40.0,23.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,8.571428571428571,0.04778666666666667,0.4416,0.436,0.0,2.0,10.0,40.0,23.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,12.0,0.03413333333333333,0.436,0.436,0.0,2.0,10.0,40.0,23.0,0.436
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,10.5,0.039009523809523806,0.44288,0.436,0.0,2.0,10.0,40.0,23.0,0.436
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,14.571428571428571,0.028109803921568626,0.4416,0.436,0.0,2.0,10.0,40.0,23.0,0.436
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,19.2,0.021333333333333333,0.436,0.436,0.0,2.0,10.0,40.0,23.0,0.436
0.0,0.0,4.0,4.0,9.0,0.0,4.0,0.0,14.0,0.023405714285714283,0.36128,0.3488,0.0,2.0,10.0,40.0,23.0,0.3488
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,24.0,0.017066666666666664,0.436,0.436,0.0,2.0,10.0,40.0,23.0,0.436
